id,eng_lemma,swe_lemma,status,pos,src,exist_in_english,exist_in_swedish,spell
ICT4,1 pulse per second,1 puls per sekund,bronze,N?,ICT,False,True,eng
ICT6,2g,2g,bronze,N?,ICT,False,False,both
ICT8,3d- design,3d-utformning,bronze,N?,ICT,False,True,eng
ICT14,3g,3g,bronze,N?,ICT,False,False,both
ICT18,4g,4g,bronze,N?,ICT,False,False,both
ICT33,access control,atkomstkontroll,bronze,N?,ICT,True,False,swe
ICT134,analysis of experimental data,analys av experimentell data,bronze,N?,ICT,False,True,eng
ICT161,application specific intergrated circuit,tillämpningsspecifik inbygd krets,bronze,N?,ICT,False,True,eng
ICT178,arrival signal and processing,ankomstsignal och bearbetning,bronze,N?,ICT,False,True,eng
ACM1381,assistive technologies for persons with disabilities,stödtekniker för personer med funktionshinder,bronze,N?,ACM,False,True,eng
ICT201,atomic shared registers,atomic delade registren,bronze,N?,ICT,True,False,swe
ICT216,authentication and data confidentiality,autentisering och datasekretess,bronze,N?,ICT,False,True,eng
ICT234,automotive telematic systems,fordonstelematiksystem,bronze,N?,ICT,False,False,both
ICT244,back office,back-office,bronze,N?,ICT,True,False,swe
ICT297,biopotential measurement system,biopotential mätning systemet,bronze,N?,ICT,False,True,eng
ICT306,bloom filter,bloom-filter,bronze,N?,ICT,True,False,swe
ICT366,business-to-business,b2b-företag,bronze,N?,ICT,False,True,eng
ICT389,call-centre,call-center,bronze,N?,ICT,True,False,swe
ICT404,card emulation,kortemulering,bronze,N?,ICT,True,False,swe
ICT409,carrier ethernet,operatör ethernet,bronze,N?,ICT,True,False,swe
ICT479,cloud erp,moln erp,bronze,N?,ICT,False,False,both
ICT480,cloud lsa,moln lsa,bronze,N?,ICT,False,False,both
ICT497,collaborative filtering,collaborative filtrerings,bronze,N?,ICT,True,False,swe
ICT512,commercial activity,kommersiellverksamhet,bronze,N?,ICT,True,False,swe
ACM1117,computational geometry and object modeling,datorgeometri och objektmodellering,bronze,N?,ACM,False,True,eng
ACM1357,computer and information science education,utbildning i data- och informationsvetenskap,bronze,N?,ACM,False,True,eng
ICT557,computer-based assessments and input of mathematical expressions,digitala bedömningar och inmatning av matematiska uttryck,bronze,N?,ICT,False,True,eng
ICT579,conjugate heat transfer,konjugat värmeöverföring,bronze,N?,ICT,True,False,swe
ICT603,contactless payment,kontaktlös betalning,bronze,N?,ICT,False,True,eng
ICT607,content caching,innehålls-cachelagring,bronze,N?,ICT,True,False,swe
ICT616,context aware services,kontextmedvetna tjänster,bronze,N?,ICT,True,False,swe
ICT621,context meta-data,kontextuell metadata,bronze,N?,ICT,False,True,eng
ICT622,context-aware application,kontextmedveten applikation,bronze,N?,ICT,True,False,swe
ICT624,context-aware services,kontextmedvetna tjänster,bronze,N?,ICT,True,False,swe
ICT642,conventional erp system,konventionella affärssystem,bronze,N?,ICT,False,True,eng
ICT658,coordinate-based,coordinat-baserad,bronze,N?,ICT,True,False,swe
ICT664,corba programming,corba programmering,bronze,N?,ICT,False,False,both
