,lemma_id,word,type,language
0,ACM1023,"""""fuzzy,'' and probabilistic reasoning """,unknown,eng
1,ACM1023,"""""oskarpa"""" och probabilistiska resonemang""",unknown,swe
2,ACM1475,but that the item is still searchable for previously classified documents.,unknown,eng
3,ACM1476,but that the item is still searchable for previously classified documents.,unknown,eng
4,ICT20,Authorization,unknown,eng
5,ICT20,and Accounting),unknown,eng
6,ICT20,Authorization och Redovisning),unknown,swe
7,GF1,abstrakt,unknown,swe
8,GF1,abstrakta,unknown,swe
9,GF2,abstract data types,unknown,eng
10,GF2,abstrakta datatypen,unknown,swe
11,GF2,abstrakta datatyper,unknown,swe
12,GF3,abstract methods,unknown,eng
13,GF3,abstrakta metoden,unknown,swe
14,GF3,abstrakta metodar,unknown,swe
15,GF4,abstracts,unknown,eng
16,GF4,utdraget,unknown,swe
17,GF4,utdrag,unknown,swe
18,GF5,abstractions,unknown,eng
19,GF5,abstraktionen,unknown,swe
20,GF5,abstraktioner,unknown,swe
21,GF6,accelerated,unknown,eng
22,GF6,accelerated,unknown,eng
23,GF6,accelererade,unknown,swe
24,GF6,accelererat,unknown,swe
25,GF7,accelerations,unknown,eng
26,GF7,accelerationen,unknown,swe
27,GF7,accelerationer,unknown,swe
28,GF8,accelerators,unknown,eng
29,GF8,acceleratorn,unknown,swe
30,GF8,acceleratorer,unknown,swe
31,GF9,accepted,unknown,eng
32,GF9,accepted,unknown,eng
33,GF9,accepterade,unknown,swe
34,GF9,accepterat,unknown,swe
35,GF10,acceptances,unknown,eng
36,GF10,godkännandet,unknown,swe
37,GF10,godkännanden,unknown,swe
38,GF11,access controls,unknown,eng
39,GF11,åtkomstkontrollen,unknown,swe
40,GF11,åtkomstkontroller,unknown,swe
41,GF12,accesses,unknown,eng
42,GF12,åtkomsten,unknown,swe
43,GF12,åtkomster,unknown,swe
44,GF13,accessibilities,unknown,eng
45,GF13,tillgängligheten,unknown,swe
46,GF13,tillgängligheter,unknown,swe
47,GF14,accompanied,unknown,eng
48,GF14,accompanied,unknown,eng
49,GF14,medföljde,unknown,swe
50,GF14,medföljt,unknown,swe
51,GF15,accounts,unknown,eng
52,GF15,kontot,unknown,swe
53,GF15,konton,unknown,swe
54,GF16,accounting softwares,unknown,eng
55,GF16,bokföringsprogrammet,unknown,swe
56,GF16,bokföringsprogram,unknown,swe
57,GF17,accumulators,unknown,eng
58,GF17,ackumulatorn,unknown,swe
59,GF17,ackumulatorer,unknown,swe
60,GF18,accuracies,unknown,eng
61,GF18,noggrannheten,unknown,swe
62,GF18,noggrannheter,unknown,swe
63,GF19,achieved,unknown,eng
64,GF19,achieved,unknown,eng
65,GF19,uppnådde,unknown,swe
66,GF19,uppnått,unknown,swe
67,GF20,acknowledged,unknown,eng
68,GF20,acknowledged,unknown,eng
69,GF20,erkände,unknown,swe
70,GF20,erkänt,unknown,swe
71,GF21,akustiskt,unknown,swe
72,GF21,akustiska,unknown,swe
73,GF22,acoustics,unknown,eng
74,GF22,akustiken,unknown,swe
75,GF22,akustiker,unknown,swe
76,GF23,acronyms,unknown,eng
77,GF23,akronymen,unknown,swe
78,GF23,akronymer,unknown,swe
79,GF24,acted,unknown,eng
80,GF24,acted,unknown,eng
81,GF24,agerade,unknown,swe
82,GF24,agerat,unknown,swe
83,GF25,acts,unknown,eng
84,GF25,handlingen,unknown,swe
85,GF25,handlingar,unknown,swe
86,GF26,actions,unknown,eng
87,GF26,handlingen,unknown,swe
88,GF26,handlingar,unknown,swe
89,GF27,activations,unknown,eng
90,GF27,aktiveringen,unknown,swe
91,GF27,aktiveringar,unknown,swe
92,GF28,aktivt,unknown,swe
93,GF28,aktiva,unknown,swe
94,GF29,actors,unknown,eng
95,GF29,skådespelaren,unknown,swe
96,GF29,skådespelare,unknown,swe
97,GF30,ads,unknown,eng
98,GF30,reklamen,unknown,swe
99,GF30,reklamer,unknown,swe
100,GF31,adaptations,unknown,eng
101,GF31,anpassningen,unknown,swe
102,GF31,anpassningar,unknown,swe
103,GF32,adapters,unknown,eng
104,GF32,adaptern,unknown,swe
105,GF32,adaptrar,unknown,swe
106,GF33,adaptivt,unknown,swe
107,GF33,adaptiva,unknown,swe
108,GF34,ytterligare,unknown,swe
109,GF34,ytterligare,unknown,swe
110,GF35,address spaces,unknown,eng
111,GF35,adressrymden,unknown,swe
112,GF35,adressrymder,unknown,swe
113,GF36,addressed,unknown,eng
114,GF36,addressed,unknown,eng
115,GF36,adresserade,unknown,swe
116,GF36,adresserat,unknown,swe
117,GF37,addresses,unknown,eng
118,GF37,adressen,unknown,swe
119,GF37,adresser,unknown,swe
120,GF38,administrativt,unknown,swe
121,GF38,administrativa,unknown,swe
122,GF39,admission requirements,unknown,eng
123,GF39,tillträdeskravet,unknown,swe
124,GF39,tillträdeskrav,unknown,swe
125,GF40,advanced,unknown,eng
126,GF40,advanced,unknown,eng
127,GF40,avancerade,unknown,swe
128,GF40,avancerat,unknown,swe
129,GF41,advances,unknown,eng
130,GF41,framsteget,unknown,swe
131,GF41,framsteg,unknown,swe
132,GF42,affected,unknown,eng
133,GF42,affected,unknown,eng
134,GF42,påverkade,unknown,swe
135,GF42,påverkat,unknown,swe
136,GF43,agencys,unknown,eng
137,GF43,byrån,unknown,swe
138,GF43,byråer,unknown,swe
139,GF44,agents,unknown,eng
140,GF44,agenten,unknown,swe
141,GF44,agenter,unknown,swe
142,GF45,aggregations,unknown,eng
143,GF45,aggregationen,unknown,swe
144,GF45,aggregationer,unknown,swe
145,GF46,agilt,unknown,swe
146,GF46,agila,unknown,swe
147,GF47,agile software developments,unknown,eng
148,GF47,agila mjukvaruutvecklingen,unknown,swe
149,GF47,agila mjukvaruutvecklingar,unknown,swe
150,GF48,agreements,unknown,eng
151,GF48,avtalet,unknown,swe
152,GF48,avtal,unknown,swe
153,GF49,aided,unknown,eng
154,GF49,aided,unknown,eng
155,GF49,hjälpte,unknown,swe
156,GF49,hjälpt,unknown,swe
157,GF50,aimed,unknown,eng
158,GF50,aimed,unknown,eng
159,GF50,syftade,unknown,swe
160,GF50,syftat,unknown,swe
161,GF51,aims,unknown,eng
162,GF51,syftet,unknown,swe
163,GF51,syften,unknown,swe
164,GF52,airflows,unknown,eng
165,GF52,luftflödet,unknown,swe
166,GF52,luftflöden,unknown,swe
167,GF53,algebras,unknown,eng
168,GF53,algebran,unknown,swe
169,GF53,algebror,unknown,swe
170,GF54,algebraiskt,unknown,swe
171,GF54,algebraiska,unknown,swe
172,GF55,algorithm analyses,unknown,eng
173,GF55,algoritmanalysen,unknown,swe
174,GF55,algoritmanalyser,unknown,swe
175,GF56,algorithm design techniqueses,unknown,eng
176,GF56,algoritmdesignteknikret,unknown,swe
177,GF56,algoritmdesigntekniker,unknown,swe
178,GF57,algorithm designs,unknown,eng
179,GF57,algoritmdesignen,unknown,swe
180,GF57,algoritmdesigner,unknown,swe
181,GF58,algorithms,unknown,eng
182,GF58,algoritmen,unknown,swe
183,GF58,algoritmer,unknown,swe
184,GF59,algoritmiskt,unknown,swe
185,GF59,algoritmiska,unknown,swe
186,ACM984,F.2.2),unknown,eng
187,ACM984,F.2.2),unknown,swe
188,GF60,alliances,unknown,eng
189,GF60,förbundet,unknown,swe
190,GF60,förbund,unknown,swe
191,GF61,allocations,unknown,eng
192,GF61,fördelningen,unknown,swe
193,GF61,fördelningar,unknown,swe
194,GF62,allowed,unknown,eng
195,GF62,allowed,unknown,eng
196,GF62,lät,unknown,swe
197,GF62,låtit,unknown,swe
198,GF63,alternated,unknown,eng
199,GF63,alternated,unknown,eng
200,GF63,växlade,unknown,swe
201,GF63,växlat,unknown,swe
202,GF64,amplitudes,unknown,eng
203,GF64,amplituden,unknown,swe
204,GF64,amplituder,unknown,swe
205,GF65,analysed,unknown,eng
