,id,eng_lemma,swe_lemma,status,pos,src
0,ACM1474,,,bronze,N?,ACM
1,ICT2078,,,bronze,N?,ICT
2,ICT2354,,,bronze,N?,ICT
3,ICT2757,,,bronze,N?,ICT
4,ICT1,"""""""a lot"""" """"lots of""""""","""""""mycket av"""" """"massor av""""""",bronze,N?,ICT
5,ICT1037,"""""""energy efficiency"""" """"energy-efficient""""""","""energieffektivisering/energieffektivitet """"energieffektiva""""""",bronze,N?,ICT
6,ICT2702,"""""""real time"""" real-time """,realtid,bronze,N?,ICT
7,ICT60,"""ad hoc [Latin: """"for this"""" (purpose/task/...)]""",till detta,bronze,N?,ICT
8,ACM1023,"""Uncertainty","""Osäkra",bronze,N?,ACM
9,ICT2,(Eclipse’s) Graphical Modeling Project (GMP),,bronze,N?,ICT
10,ICT1189,(U.S.) Federal Information Processing Standards (FIPS),,bronze,N?,ICT
11,ACM1475,* Indicates that the classification is no longer used as of January 1991,,bronze,N?,ACM
12,ACM1476,** Indicates that the classification is no longer used as of January 1998,,bronze,N?,ACM
13,ICT4,1 pulse per second,1 puls per sekund,bronze,N?,ICT
14,ICT5,2D method,2D-metod,bronze,N?,ICT
15,ICT6,2G (Third Generation),2G (andra generationen),bronze,N?,ICT
16,ICT17,3-tier Web,,bronze,N?,ICT
17,ICT7,3D (three dimensional),tre dimensionell,bronze,N?,ICT
18,ICT9,3D modelling,3D-modellering,bronze,N?,ICT
19,ICT8,3D- design,3D-utformning,bronze,N?,ICT
20,ICT10,3D-model,3D-modell,bronze,N?,ICT
21,ICT11,3D-modeling,3D-modellering,bronze,N?,ICT
22,ICT12,3D-printing,3D-skrivare,bronze,N?,ICT
23,ICT13,3D-visualization,3D-visualisering,bronze,N?,ICT
24,ACM1069,3D/stereo scene analysis,Scenanalys i 3D/stereo,bronze,N?,ACM
25,ICT14,3G (Third Generation),3G (tredje generationen),bronze,N?,ICT
26,ICT15,3rd Generation Partnership Project (3GPP),,bronze,N?,ICT
27,ICT16,3rd Generation Partnership Project (3GPP2),,bronze,N?,ICT
28,ICT18,4G (Fourth Generation),4G (fjärde generationen),bronze,N?,ICT
29,ICT19,6LoWPAN (IPv6 over Low power Wireless Personal Area Networks),,bronze,N?,ICT
30,ICT3,[FIPS-201] Personal Identity Verification (PIV),,bronze,N?,ICT
31,ICT20,AAA (Authentication,AAA (autentisering,bronze,N?,ICT
32,ICT21,abandon,övergiva,bronze,N?,ICT
33,ICT22,ability,förmåga,bronze,N?,ICT
34,ICT23,absence,frånvaro,bronze,N?,ICT
35,ICT24,absolute semantic,absolut semantisk,bronze,N?,ICT
36,ICT25,abstract,abstrakt,bronze,N?,ICT
37,GF1,abstract,abstrakt,silver,A,GF
38,GF2,abstract data type,abstrakt datatyp,silver,N,GF
39,ACM437,Abstract data types,Abstrakta datatyper,bronze,N?,ACM
40,GF3,abstract method,abstrakt metod,silver,N,GF
41,ICT26,abstract program models,abstrakta programmodeller,bronze,N?,ICT
42,ICT27,Abstract Syntax Notation.One (ASN.1),,bronze,N?,ICT
43,GF4,abstract,utdrag,silver,N,GF
44,ACM871,Abstracting methods,,bronze,N?,ACM
45,ICT28,abstraction,abstraktion,bronze,N?,ICT
46,GF5,abstraction,abstraktion,silver,N,GF
47,ACM1370,Abuse and crime involving computers,Missbruk och kriminalitet i samband med datorer,bronze,N?,ACM
