id,eng_lemma,swe_lemma,status,pos,src
ICT1,"""""""a lot"""" """"lots of""""""","""""""mycket av"""" """"massor av""""""",bronze,N?,ICT
ICT2702,"""""""real time"""" real-time """,realtid,bronze,N?,ICT
ICT60,"""ad hoc [latin: """"for this"""" ]""",till detta,bronze,N?,ICT
ACM1023,"""uncertainty","""osäkra",bronze,N?,ACM
ICT7,3d,tre dimensionell,bronze,N?,ICT
ICT20,aaa (authentication,aaa (autentisering,bronze,N?,ICT
ACM1370,abuse and crime involving computers,missbruk och kriminalitet i samband med datorer,bronze,N?,ACM
ACM1380,abuse and crime involving computers,missbruk och brott i samband med datorer,bronze,N?,ACM
ICT31,accept accepts acceptable accepted accepting,acceptera accepterar godtagbart accepteras acceptera,bronze,N?,ICT
ICT32,access accessing accessed accessible,tillgång åtkomst nås åtkomlig,bronze,N?,ICT
ICT35,accessibility,tillgänglighet framkomlighet,bronze,N?,ICT
ICT40,account accounts,konto konton,bronze,N?,ICT
ICT45,achieve achieves achieved,uppnå uppnår uppnådda,bronze,N?,ICT
ICT46,acknowledge acknowledgement acknowledgements acknowledged,erkänna kvittens kvittenser kvitto,bronze,N?,ICT
ICT53,activate activation,aktivera aktiverings,bronze,N?,ICT
ICT54,active activated activation activity activities,aktiv aktiverad aktivering aktivitetsverksamhet,bronze,N?,ICT
ICT56,activity activities,aktivitet aktiviteter,bronze,N?,ICT
ICT58,actual actually,faktiska faktiskt,bronze,N?,ICT
ICT63,add adds added,adderar tillägger tillsatt,bronze,N?,ICT
ICT64,addition additional,därtill ytterligare,bronze,N?,ICT
ICT69,administrators administratively administrative administration,administratörer administrativt administrativ administrering,bronze,N?,ICT
ICT71,advance advances advanced advancing,avancera framsteg avancerade avancera,bronze,N?,ICT
ICT74,advantage advantages,fördel fördelar,bronze,N?,ICT
ICT77,advice advisory,rådgivning rådgivande,bronze,N?,ICT
ICT83,agency agencies,agentur byrå,bronze,N?,ICT
ICT86,aggregate aggregated aggregation,aggregat aggregerade aggregering,bronze,N?,ICT
ICT92,agree agrees agreed,samtycka samtycker överenskomna,bronze,N?,ICT
ICT89,agreement agreements,avtal,bronze,N?,ICT
ICT96,alarm alarms,larm,bronze,N?,ICT
ACM621,algebraic approaches to semantics,algebraiska sätt att behandla semantik,bronze,N?,ACM
ICT101,algorithm algorithms,algoritm algoritmer,bronze,N?,ICT
