id,eng_lemma,swe_lemma,status,pos,src
ICT1037,"""""""energy efficiency"""" """"energy-efficient""""""","""energieffektivisering/energieffektivitet """"energieffektiva""""""",bronze,N?,ICT
ACM1069,3d/stereo scene analysis,scenanalys i 3d/stereo,bronze,N?,ACM
ACM1365,accreditation,ackreditering/godkännande,bronze,N?,ACM
ICT43,accuracy,noggrannhet/exakthet,bronze,N?,ICT
ICT44,accurate,ackurat/noggrann/exakt,bronze,N?,ICT
ICT49,across,tvärs/över,bronze,N?,ICT
ICT50,act acts acting,agera agerar agerar/agerande,bronze,N?,ICT
ICT62,adapter adapters adapt adapted adaptive adapting,adapter adaptrar anpassa anpassad adaptiv/anpassningsbar anpassning,bronze,N?,ICT
ICT65,address addressing addresses addressed addressable,adress/adressera adresserar adresser adresserade adresserbar,bronze,N?,ICT
ICT68,adjustment,trimning/justering,bronze,N?,ICT
ICT70,adopts adopted adoption adopting,antar antas/antog antagande antar,bronze,N?,ICT
ICT84,agenda,agenda/dagordning,bronze,N?,ICT
ICT85,agent agents,agent/representant/ombud,bronze,N?,ICT
ICT99,alert,alert/varna,bronze,N?,ICT
ICT103,alignment,"""utstakning/rätning/""""i linje med""""""",bronze,N?,ICT
ICT108,allocation allocates allocated,allokering allokerar allokeras/allokerade,bronze,N?,ICT
ICT109,allow allows allowed allowing,tillåta tillåter tillåtet/tillät tillåter,bronze,N?,ICT
ICT110,alphabet,alfabet/bokstavs,bronze,N?,ICT
ICT115,although,"""""""även om""""/fastän""",bronze,N?,ICT
ICT128,amusement,nöjen/underhållning,bronze,N?,ICT
ICT132,analogous,analog/likartad,bronze,N?,ICT
ICT140,announce announces announcement announcements announced announcer announcing,annonsera/meddela tillkännager meddelande meddelanden tillkännages speakern meddelar,bronze,N?,ICT
ICT141,annoyed,irriterad/förargad,bronze,N?,ICT
ICT144,answer answers answering answered,besvara svarar/svar svarar svarade/besvarats,bronze,N?,ICT
ACM1015,answer/reason extraction,extraktion av svar/härledning,bronze,N?,ACM
ICT146,antenna array,antennrad/antennordning,bronze,N?,ICT
ICT169,approximately,cirka/ungefär,bronze,N?,ICT
ICT174,argument|s,argumentet/argument,bronze,N?,ICT
ICT179,arrival arrive arrives arriving,ankomst anlända/komma anländer anländer,bronze,N?,ICT
ACM1318,arts,sköna konsterna och dans/sång/teater,bronze,N?,ACM
ICT188,assigns assigned assignment assignments,delar tilldelade tilldelning/uppdrag tilldelningar/uppdragen,bronze,N?,ICT
ACM95,asynchronous/synchronous operation,asynkront/synkront funktionssätt,bronze,N?,ACM
ICT202,attach/attaches attached attachment attachments,fästa/fäster bifogade bilaga bilagor,bronze,N?,ICT
ICT221,autoconfiguration,autokonfiguration/självkonfiguration,bronze,N?,ICT
ICT236,average averages averaging,genomsnittlig/genomsnittliga medelvärden medelvärdes,bronze,N?,ICT
ACM562,backup/recovery,säkerhetskopiering och återställning,bronze,N?,ACM
ICT275,behalf,vägnar/grund,bronze,N?,ICT
ICT277,behavior /behaviour behaviors,beteende beteenden,bronze,N?,ICT
ACM3,biographies/autobiographies,biografier/självbiografier,bronze,N?,ACM
