,id,eng_lemma,swe_lemma,status,pos,src
37,GF1,abstract,abstrakt,silver,A,GF
38,GF2,abstract data type,abstrakt datatyp,silver,N,GF
40,GF3,abstract method,abstrakt metod,silver,N,GF
43,GF4,abstract,utdrag,silver,N,GF
46,GF5,abstraction,abstraktion,silver,N,GF
49,GF6,accelerate, accelerera,silver,V,GF
50,GF7,acceleration,acceleration,silver,N,GF
52,GF8,accelerator,accelerator,silver,N,GF
55,GF9,accept, acceptera,silver,V,GF
56,GF10,acceptance,godkännande,silver,N,GF
59,GF11,access control,åtkomstkontroll,silver,N,GF
65,GF12,access,åtkomst,silver,N,GF
68,GF13,accessibility,tillgänglighet,silver,N,GF
71,GF14,accompany, medfölja,silver,V,GF
74,GF15,account,konto,silver,N,GF
76,GF16,accounting software,bokföringsprogram,silver,N,GF
80,GF17,accumulator,ackumulator,silver,N,GF
82,GF18,accuracy,noggrannhet,silver,N,GF
85,GF19,achieve, uppnå,silver,V,GF
87,GF20,acknowledge, erkänna,silver,V,GF
88,GF21,acoustic,akustisk,silver,A,GF
89,GF22,acoustic,akustik,silver,N,GF
92,GF23,acronym,akronym,silver,N,GF
95,GF24,act, agera,silver,V,GF
96,GF25,act,handling,silver,N,GF
99,GF26,action,handling,silver,N,GF
101,GF27,activation,aktivering,silver,N,GF
102,GF28,active,aktiv,silver,A,GF
106,GF29,actor,skådespelare,silver,N,GF
110,GF30,ad,reklam,silver,N,GF
113,GF31,adaptation,anpassning,silver,N,GF
115,GF32,adapter,adapter,silver,N,GF
116,GF33,adaptive,adaptiv,silver,A,GF
120,GF34,additional,ytterligare,silver,A,GF
122,GF35,address space,adressrymd,silver,N,GF
123,GF36,address, adressera,silver,V,GF
124,GF37,address,adress,silver,N,GF
128,GF38,administrative,administrativ,silver,A,GF
131,GF39,admission requirement,tillträdeskrav,silver,N,GF
134,GF40,advance, avancera,silver,V,GF
135,GF41,advance,framsteg,silver,N,GF
145,GF42,affect, påverka,silver,V,GF
151,GF43,agency,byrå,silver,N,GF
154,GF44,agent,agent,silver,N,GF
156,GF45,aggregation,aggregation,silver,N,GF
159,GF46,agile,agil,silver,A,GF
162,GF47,agile software development,agil mjukvaruutveckling,silver,N,GF
165,GF48,agreement,avtal,silver,N,GF
166,GF49,aid, hjälpa,silver,V,GF
167,GF50,aim, syfta,silver,V,GF
168,GF51,aim,syfte,silver,N,GF
170,GF52,airflow,luftflöde,silver,N,GF
177,GF53,algebra,algebra,silver,N,GF
179,GF54,algebraic,algebraisk,silver,A,GF
184,GF55,algorithm analysis,algoritmanalys,silver,N,GF
186,GF56,algorithm design techniques,algoritmdesigntekniker,silver,N,GF
187,GF57,algorithm design,algoritmdesign,silver,N,GF
188,GF58,algorithm,algoritm,silver,N,GF
189,GF59,algorithmic,algoritmisk,silver,A,GF
200,GF60,alliance,förbund,silver,N,GF
202,GF61,allocation,fördelning,silver,N,GF
205,GF62,allow, låta,silver,V,GF
210,GF63,alternate, växla,silver,V,GF
225,GF64,amplitude,amplitud,silver,N,GF
235,GF65,analyse, analysera,silver,V,GF
240,GF66,analysis,analys,silver,N,GF
242,GF67,analytical,analytisk,silver,A,GF
250,GF68,anisotropic,anisotrop,silver,A,GF
256,GF69,answer,svar,silver,N,GF
259,GF70,antenna,antenn,silver,N,GF
262,GF71,antibiotic,antibiotikum,silver,N,GF
264,GF72,antivirus,antivirus,silver,N,GF
269,GF73,appliance,tillämpning,silver,N,GF
279,GF74,application software,tillämpningsprogram,silver,N,GF
282,GF75,application,applikation,silver,N,GF
296,GF76,applied data science,applicerad datavetenskap,silver,N,GF
299,GF77,apply, applicera,silver,V,GF
303,GF78,appropriate, bestämma,silver,V,GF
306,GF79,approximate, approximera,silver,V,GF
310,GF80,approximation,approximation,silver,N,GF
313,GF81,architect,arkitekt,silver,N,GF
314,GF82,architectural,arkitekturell,silver,A,GF
318,GF83,architecture,arkitektur,silver,N,GF
322,GF84,argue, argumentera,silver,V,GF
323,GF85,argument,argument,silver,N,GF
