id,eng_lemma,swe_lemma,status,pos,src
ICT21,abandon,övergiva,bronze,N?,ICT
ICT22,ability,förmåga,bronze,N?,ICT
ICT23,absence,frånvaro,bronze,N?,ICT
ICT25,abstract,abstrakt,bronze,N?,ICT
ICT28,abstraction,abstraktion,bronze,N?,ICT
ICT30,accelerometer,accelerometern,bronze,N?,ICT
ICT38,accompanied,åtföljd,bronze,N?,ICT
ICT39,according,enligt,bronze,N?,ICT
ICT41,accounting,redovisning,bronze,N?,ICT
ACM1358,Accreditation,Ackreditering,bronze,N?,ACM
ICT42,accumulated,ackumulerade,bronze,N?,ICT
ICT48,acquisition,anskaffning,bronze,N?,ICT
ICT59,actuators,ställdon,bronze,N?,ICT
ICT61,adaptation,anpassning,bronze,N?,ICT
ICT75,advantages,fördelar,bronze,N?,ICT
ICT76,advertisements,annonser,bronze,N?,ICT
ACM1299,Aerospace,Rymdfart,bronze,N?,ACM
ICT81,affordable,prisvärd,bronze,N?,ICT
ICT82,again,igen,bronze,N?,ICT
ICT90,aggressive,aggressiv,bronze,N?,ICT
ICT88,agile,agila,bronze,N?,ICT
ICT91,agile,vig,bronze,N?,ICT
ICT93,aiming,siktar,bronze,N?,ICT
ICT94,airports,flygplatser,bronze,N?,ICT
ICT95,airspace,luftrummet,bronze,N?,ICT
ICT98,alarmclock,väckarklocka,bronze,N?,ICT
ICT100,algebraic,algebraisk,bronze,N?,ICT
ACM1224,Algorithms,Algoritmer,bronze,N?,ACM
ACM55,Algorithms,Algoritmer,bronze,N?,ACM
ICT102,aliasing,aliaserande,bronze,N?,ICT
ICT105,alleviate,lindra,bronze,N?,ICT
ICT111,alphanumeric,alfanumerisk,bronze,N?,ICT
ICT112,already,redan,bronze,N?,ICT
ICT113,altering,förändra,bronze,N?,ICT
ICT116,altruistic,altruistiska,bronze,N?,ICT
ICT117,always,alltid,bronze,N?,ICT
ICT126,amplifier,förstärkare,bronze,N?,ICT
ICT129,analog,analog,bronze,N?,ICT
