id,eng_lemma,swe_lemma,status,pos,src
ICT98,alarmclock,väckarklocka,silver,N?,ICT
ICT102,aliasing,aliaserande,silver,N?,ICT
ICT242,backhaul,returtrafik,silver,N?,ICT
ICT243,backoff,backoffrandomisering,silver,N?,ICT
ICT256,barcode,streckkod,silver,N?,ICT
ICT280,benchmarking,jämförande,silver,N?,ICT
ICT282,beside,bredvid,silver,N?,ICT
ICT570,conferencing,konferenser,silver,N?,ICT
ICT585,connectionless,anslutningslös,silver,N?,ICT
ICT659,coorelation,samordning,silver,N?,ICT
ACM1390,Cybercash,Cyberpengar,silver,N?,ACM
ICT748,datarate,datatakt,silver,N?,ICT
ICT759,datastore,datalager,silver,N?,ICT
ICT814,deregistration,avregistrering,silver,N?,ICT
ICT875,disaggregation,disaggregering,silver,N?,ICT
ICT894,dissector,dissektorn,silver,N?,ICT
ICT927,downconverting,nedkonvertering,silver,N?,ICT
ICT936,duopoly,duopol,silver,N?,ICT
ICT1070,entrepreneurship,entreprenörskap,silver,N?,ICT
ICT1098,Europay,Europay,silver,N?,ICT
ICT1107,everything,allt,silver,N?,ICT
ICT1127,expendables,utgiftsmaterial,silver,N?,ICT
ICT1330,geolocation,geolokalisering,silver,N?,ICT
ICT1401,haptics,haptiker,silver,N?,ICT
ICT1403,hardcopy,papperskopia,silver,N?,ICT
ICT1419,heatset,heatset,silver,N?,ICT
ICT1422,heightmap,höjdkarta,silver,N?,ICT
ICT1491,hyper,hyper,silver,N?,ICT
ICT1492,hyperframe,hyperram,silver,N?,ICT
ICT1618,intercity,intercity,silver,N?,ICT
ICT1753,leeper,leeper,silver,N?,ICT
ICT1819,lognormal,lognormala,silver,N?,ICT
ICT1942,microcontoller,mikrokontroller,silver,N?,ICT
ICT1950,middleware,mellanprogramvara,silver,N?,ICT
ICT2048,multichannel,flerkanalig,silver,N?,ICT
ICT2050,multicore,flerkärnig,silver,N?,ICT
ICT2056,multimode,multimod,silver,N?,ICT
ICT2093,namespaces,namnrymder,silver,N?,ICT
ICT2184,nonprioritized,oprioriterade,silver,N?,ICT
ICT2411,personalization,personalisering,silver,N?,ICT
ICT2421,phaseout,avveckling,silver,N?,ICT
ICT2430,picocell,pikocell,silver,N?,ICT
ICT2431,picocellular,pikocellular,silver,N?,ICT
ICT2433,picoradios,picoradios,silver,N?,ICT
ICT2449,plasmonic,plasmoniska,silver,N?,ICT
ICT2454,playout,uppspelning,silver,N?,ICT
ACM462,Preprocessors,Förprocessorer,silver,N?,ACM
ACM1153,Radiometry,Radiometri,silver,N?,ACM
ICT2675,radiotelecommunication,radiotelekommunikations,silver,N?,ICT
ACM1140,Raytracing,Strålföljning,silver,N?,ACM
ICT2716,reassociation,reassociering,silver,N?,ICT
ICT2735,redial,återuppringning,silver,N?,ICT
ACM1388,Reengineering,Omstrukturering,silver,N?,ACM
ICT2787,remoting,fjärrkommunikation,silver,N?,ICT
ICT2809,reregistration,omregistrering,silver,N?,ICT
ICT2811,resampling,omsampling,silver,N?,ICT
ICT2849,retransmission,återutsändning,silver,N?,ICT
ICT2852,retroreflector,retroreflektor,silver,N?,ICT
ICT2855,reusability,återanvändbarhet,silver,N?,ICT
ICT2880,rollout,utrullning,silver,N?,ICT
ICT2895,runtime,körtids,silver,N?,ICT
ACM278,Smartcards,Smartkort,silver,N?,ACM
ICT3168,something,något,silver,N?,ICT
ICT3239,storytelling,berättande,silver,N?,ICT
ICT3263,subchannels,delkanaler,silver,N?,ICT
ICT3267,subnet,subnät,silver,N?,ICT
ICT3268,subrating,subrating,silver,N?,ICT
ICT3279,subsistance,existensminimum,silver,N?,ICT
ICT3281,subtype,subtyp,silver,N?,ICT
ICT3295,supersensors,supersensors,silver,N?,ICT
ICT3296,superset,superset,silver,N?,ICT
ICT3338,syncronization,synkronisering,silver,N?,ICT
ICT3388,telemedicine,telemedicin,silver,N?,ICT
ICT3418,theirs,deras,silver,N?,ICT
ICT3419,themselves,själva,silver,N?,ICT
ICT3434,those,de,silver,N?,ICT
ICT3476,toolkit,verktygslåda,silver,N?,ICT
ICT3485,towards,mot,silver,N?,ICT
ICT3598,unless,såvida,silver,N?,ICT
ICT3604,unparked,unparked,silver,N?,ICT
ICT3608,untrusted,opålitlig,silver,N?,ICT
ICT3676,versus,kontra,silver,N?,ICT
ICT3693,videotelephony,videotelefoni,silver,N?,ICT
ICT3702,virtualization,virtualisering,silver,N?,ICT
ICT3760,webmail,webbmail,silver,N?,ICT
ICT3767,whereas,medan,silver,N?,ICT
ICT3768,whereby,varigenom,silver,N?,ICT
ICT3769,whether,huruvida,silver,N?,ICT
ICT3773,whose,vars,silver,N?,ICT
ICT3806,wireline,wireline,silver,N?,ICT
ICT3810,without,utan,silver,N?,ICT
ICT3823,workability,arbetbarhet,silver,N?,ICT
ICT3824,workbriefing,arbetsberedning,silver,N?,ICT
ICT3835,would,skulle,silver,N?,ICT
ICT3848,yourself,själv,silver,N?,ICT
