id,eng_lemma,swe_lemma,status,pos,src
ACM437,Abstract data types,Abstrakta datatyper,silver,N?,ACM
ACM505,Access controls,Åtkomstkontroller,silver,N?,ACM
ACM488,Access methods,Åtkomstmetoder,silver,N?,ACM
ACM263,Access schemes,Åtkomstscheman,silver,N?,ACM
ACM215,Adaptable architectures,Anpassningsbara arkitekturer,silver,N?,ACM
ACM1289,ADMINISTRATIVE DATA PROCESSING,ADMINISTRATIV DATABEHANDLING,silver,N?,ACM
ACM162,Advanced technologies,Avancerade tekniker,silver,N?,ACM
ACM985,Algebraic algorithms,Algebraiska algoritmer,silver,N?,ACM
ACM163,Algorithms implemented in hardware,Algoritmer implementerade i maskinvara,silver,N?,ACM
ACM579,Alternation and nondeterminism,Växling och icke-determinism,silver,N?,ACM
ACM216,Analog computers,Analoga datorer,silver,N?,ACM
ACM986,Analysis of algorithms,Analys av algoritmer,silver,N?,ACM
ACM1108,Application packages,Applikationspaket,silver,N?,ACM
ACM1463,Application Packages,Tillämpningsprogram,silver,N?,ACM
ACM1158,Approximate methods,Approximativa metoder,silver,N?,ACM
ACM39,ARITHMETIC AND LOGIC STRUCTURES,ARITMETISKA OCH LOGISKA STRUKTURER,silver,N?,ACM
ACM117,Arithmetic and logic units,Aritmetiska och logiska enheter,silver,N?,ACM
ACM996,ARTIFICIAL INTELLIGENCE,ARTIFICIELL INTELLIGENS,silver,N?,ACM
ACM1316,ARTS AND HUMANITIES,KONST OCH HUMANIORA,silver,N?,ACM
ACM65,Associative memories,Associativa minnen,silver,N?,ACM
ACM207,Associative processors,Associativa processorer,silver,N?,ACM
ACM237,Asynchronous Transfer Mode,Asynkron överföringsmod,silver,N?,ACM
ACM1009,Automatic analysis of algorithms,Automatisk analys av algoritmer,silver,N?,ACM
ACM305,Automatic Programming,Automatisk programmering,silver,N?,ACM
ACM123,Automatic synthesis,Automatisk syntes,silver,N?,ACM
ACM152,Automatic synthesis,Automatisk syntes,silver,N?,ACM
ACM1060,Autonomous vehicles,Autonoma fordon,silver,N?,ACM
ACM500,Backup procedures,Procedurer för säkerhetskopiering,silver,N?,ACM
ACM1309,Biology and genetics,Biologi och genetik,silver,N?,ACM
ACM1102,Bitmap and framebuffer operations,Bitmapps- och rambuffertoperationer,silver,N?,ACM
ACM1118,Boundary representations,Representationer av gränser,silver,N?,ACM
ACM66,Cache memories,Cacheminnen,silver,N?,ACM
ACM1150,Camera calibration,Kamerakalibrering,silver,N?,ACM
ACM90,Channels and controllers,Kanaler och kontrollenheter,silver,N?,ACM
ACM239,Circuit-switching networks,Kretskopplade nät,silver,N?,ACM
ACM438,Classes and objects,Klasser och objekt,silver,N?,ACM
ACM552,Code breaking,Kodknäckning,silver,N?,ACM
ACM454,Code generation,Kodgenerering,silver,N?,ACM
ACM356,Code inspections and walk-throughs,Kodgranskningar och genomgångar,silver,N?,ACM
ACM1453,Codes of ethics,Etiska regler,silver,N?,ACM
ACM1454,Codes of good practice,God sed,silver,N?,ACM
