id,eng_lemma,swe_lemma,status,pos,src,incorrect
ICT30,accelerometer,accelerometern,silver,N?,ICT,swe
ICT88,agile,agila,silver,N?,ICT,swe
ICT148,aperiodic,aperiodisk,silver,N?,ICT,swe
ICT217,authenticator,verifieraren,silver,N?,ICT,swe
ICT304,blog,blogg,silver,N?,ICT,swe
ICT340,browser,webbläsare,silver,N?,ICT,swe
ACM880,clustering,klustring,silver,N?,ACM,swe
ACM456,debuggers,avlusare,silver,N?,ACM,swe
ICT776,decrements,dekrement,silver,N?,ICT,swe
ICT922,dongles,donglar,silver,N?,ICT,swe
ICT1016,emulator,emulator,silver,N?,ICT,swe
ICT1099,europe,europa,silver,N?,ICT,swe
ICT1161,factoid,faktoid,silver,N?,ICT,swe
ACM1137,fractals,fraktaler,silver,N?,ACM,swe
ICT1334,geostationary,geostationary,silver,N?,ICT,swe
ICT1429,hexadecimal,hexadecimalt,silver,N?,ICT,swe
ICT1641,interplanetary,interplaneta,silver,N?,ICT,swe
ACM458,interpreters,interpretatorer,silver,N?,ACM,swe
ICT1845,macro,makro,silver,N?,ICT,swe
ICT2057,multimedia,mulitmedia,silver,N?,ICT,swe
ACM461,parsing,parsning,silver,N?,ACM,swe
ICT2437,pioneer,pioneer,silver,N?,ICT,swe
ICT2440,pixels,pixlar,silver,N?,ICT,swe
ACM450,polymorphism,polymorfism,silver,N?,ACM,swe
ICT2473,pooled,poolade,silver,N?,ICT,swe
ICT2487,positioning,positionering,silver,N?,ICT,swe
ICT2559,probabilistic,probabilistiska,silver,N?,ICT,swe
ICT2609,proprietary,proprietära,silver,N?,ICT,swe
ACM452,recursion,rekursion,silver,N?,ACM,swe
ICT2876,roaming,roaming,silver,N?,ICT,swe
ACM1059,robotics,robotik,silver,N?,ACM,swe
ACM270,routers,routrar,silver,N?,ACM,swe
ICT2890,routing,routning,silver,N?,ICT,swe
ICT2944,scrum,scrum,silver,N?,ICT,swe
ICT3016,serialization,serialisering,silver,N?,ICT,swe
ACM297,servers,servrar,silver,N?,ACM,swe
ICT3075,sigmoid,sigmoid,silver,N?,ICT,swe
ICT3339,synthesizer,syntetiserare,silver,N?,ICT,swe
ICT3568,unassigned,otilldelad,silver,N?,ICT,swe
ICT3599,unlicensed,olicensierad,silver,N?,ICT,swe
ICT3607,unsynchronized,osynkroniserad,silver,N?,ICT,swe
ICT3670,vending,varu,silver,N?,ICT,swe
ACM1208,volumetric,volymetrisk,silver,N?,ACM,swe
ICT3746,web,webb,silver,N?,ICT,swe
ICT3761,website,webbsida,silver,N?,ICT,swe
