English lemma,Swedish lemma,POS,status
mixed reality,mixad ¨ verklighet,,invalid characters in lemma
3.5ghz,3.5ghz,,invalid characters in lemma
alzheimer’s disease,alzheimers sjukdom,,invalid characters in lemma
sentence mover’s distance,sentence mover’s distance,,invalid characters in lemma
c++,c++,,invalid characters in lemma
tla+,tla+,,invalid characters in lemma
,,,no translation
node.js,node.js,,invalid characters in lemma
inde_nte hessian,obestämd hessian,,invalid characters in lemma
ap switch on/off,ap switch on/off,,invalid characters in lemma
storytelling,berättande,,invalid characters in lemma
human computer interaction,människa-datorinteraktion,,invalid characters in lemma
i/q data,i/q data,,invalid characters in lemma
i/q method,i/q metoden,,invalid characters in lemma
moore’s law,moores lag,,invalid characters in lemma
key words: exposure factors,exponeringsfaktorer,,invalid characters in lemma
parkinson’s disease,parkinsons sjukdom,,invalid characters in lemma
matlab/simulink,matlab/simulink,,invalid characters in lemma
parkinson’s disease,parkinsons sjukdom,,invalid characters in lemma
pss/e,pss/e,,invalid characters in lemma
fréchet inception distance,fréchet inception distance,,invalid characters in lemma
c#,c#,,invalid characters in lemma
instagram’s algorithm,instagrams algoritm,,invalid characters in lemma
reminiscence bump,”reminiscence bump”,,invalid characters in lemma
a/b testing,a/btestning,,invalid characters in lemma
eu standard 13284-1:2017,eu standard 13284-1:2017,,invalid characters in lemma
contract inference,kontrakth¨arledning,,invalid characters in lemma
translation,overs¨attning,,invalid characters in lemma
ssl/tls,ssl/tls,,invalid characters in lemma
jelly roll,gelérulle,,invalid characters in lemma
diagnosis of parkinson’s disease,diagnos av parkinsons sjukdom,,invalid characters in lemma
mitkov’s algorithm,mitkovs algoritm,,invalid characters in lemma
o&m,drift och underhåll,,invalid characters in lemma
sl*,sl*,,invalid characters in lemma
industry 4.0,industri 4.0,,invalid characters in lemma
tenable.sc,sårbarhet,,invalid characters in lemma
vulnerability,tenable.sc,,invalid characters in lemma
crazyflie 2.0,crazyflie 2.0,,invalid characters in lemma
microsoft azure cloud computing platform & services,microsoft azure cloud computing platform & services,,invalid characters in lemma
industry 4.0 andwireless sensor networks,smarta system och trådlöst sensornätverk,,invalid characters in lemma
message­ oriented middleware,meddelande-orienterad mellanprogramvara,,invalid characters in lemma
command & control,command & control,,invalid characters in lemma
waveguide,v°agledare,,invalid characters in lemma
two-port,tv°a-portar,,invalid characters in lemma
ieee 802.15.4,ieee 802.15.4,,invalid characters in lemma
ieee802.1q,ieee 802.1q,,invalid characters in lemma
omnet++,omnet++,,invalid characters in lemma
h&m group,h&m group,,invalid characters in lemma
ethernet/ip,ethernet/ip,,invalid characters in lemma
ethercat®,ethercat®,,invalid characters in lemma
micropayment,https://www.overleaf.com/project/5c923cd521063b4a908c195a mikrobetalningar,,invalid characters in lemma
kubernetes network segmentation,kubernetes nätverkssegmentering,,invalid characters in lemma
disturbance observer control,"""disturbance observer"" baserad reglering",,invalid characters in lemma
a/b testing,a/b-testning,,invalid characters in lemma
cross- country fault; resonant earthing; compensated network; mv network; distance protection; fault analysis; rtds/emtdc,dubbla jordfel; spoljordning; jordfelskompenserade elnät; mellanspänningsnät; distansskydd; reläskydd; rtds/emtdc,,invalid characters in lemma
words: s ocial media,s ociala medier,,invalid characters in lemma
i/o limitations,i/o-begränsningar,,invalid characters in lemma
dc/dc converter,dc/dc-omvandlare,,invalid characters in lemma
tensorflow.js,tensorflow.js,,invalid characters in lemma
uavs,uav: er,,invalid characters in lemma
economic evaluation,ekonomisk utv¨ardering,,invalid characters in lemma
swedish subtitle: front end development,front end utveckling,,invalid characters in lemma
zero energy devices,“zero” energienheter,,invalid characters in lemma
women's safety,kvinnors säkerhet,,invalid characters in lemma
kalman ąlter,kalmanąlter,,invalid characters in lemma
"""the star of the slot""","the star of the slot""",,invalid characters in lemma
γ-glycine,γ -glycin,,invalid characters in lemma
relay/replay attack,relay/replay attack,,invalid characters in lemma
(α,(α,,invalid characters in lemma
f)byzantine resilience,f)byzantinsk motståndskraft,,invalid characters in lemma
“query optimization”,frågaoptimering,,invalid characters in lemma
“distributed databases”,”distribuerad databas”,,invalid characters in lemma
“first match query”,“första match frågor”,,invalid characters in lemma
ci/cd pipelines,ci/cd-pipelines,,invalid characters in lemma
andorid a/b update,andorid a/b update,,invalid characters in lemma
robot operating system 2.0,robotoperativsystem 2.0,,invalid characters in lemma
bachelor’s thesis,kandidatexamensarbete,,invalid characters in lemma
keywords here: deadbeat predictive current control,deadbeat-prediktiv strömreglerin,,invalid characters in lemma
react.js,react.js,,invalid characters in lemma
802.11,802.11,,invalid characters in lemma
programming. innehållsförteckning,programmering,,invalid characters in lemma
publish/subscribe,publicera / prenumerera,,invalid characters in lemma
pub/sub proxy,pub / sub proxy,,invalid characters in lemma
bachelor’s thesis,kandidat examensarbete,,invalid characters in lemma
embodied conversational agent; user study; evaluation instrument; gesture generation; gaze-tracking,förkroppsligad konversationsagent ; användarstudie; utvärderingsinstrument; generering av gester; spårning av blickar,,invalid characters in lemma
agile/devops,agile/devops,,invalid characters in lemma
certificate enrollment/management,certifikat inskrivning/förvaltning,,invalid characters in lemma
kinetic energy,frekvenskvalité,,invalid characters in lemma
health/condition monitoring,tillståndsbevakning,,invalid characters in lemma
pscad/emtdc,pscad/ emtdc,,invalid characters in lemma
video quality,videokvalitét,,invalid characters in lemma
hydrobatic auvs,hydrobatiska auv:er,,invalid characters in lemma
learning with errors/rounding,learning with errors/rounding,,invalid characters in lemma
idea generation,idégenerering,,invalid characters in lemma
: user experience,användarupplevelse,,invalid characters in lemma
women’s health,kvinnohälsa,,invalid characters in lemma
atp/emtp,atp/emtp,,invalid characters in lemma
asn.1,asn.1,,invalid characters in lemma
dv/dt and di/dt transients,dv/dt och di/dt transienter,,invalid characters in lemma
unmanned aerial vehicles; ethical hacking; threat modelling; penetration testing; ryze tello,drönare; etisk hackning; hotmodellering; penetrationstest; ryze tello,,invalid characters in lemma
ge’ez,ge’ez,,invalid characters in lemma
control/display ratio,control/display ratio,,invalid characters in lemma
fatigue,trötthet,,invalid characters in lemma
technical aids,tekniska hjälpmedel,,invalid characters in lemma
network monitoring/management,nätverksövervakning/hantering,,invalid characters in lemma
nrem – non-rapid eye movement,nrem – non-rapid eye movement,,invalid characters in lemma
psg – polysomnografi,psg – polysomnography,,invalid characters in lemma
mems – mikroelektromekaniska system,mems – microelectromechanical systems,,invalid characters in lemma
sömn,sleep,,invalid characters in lemma
trafiksäkerhet,traffic safety,,invalid characters in lemma
traﬀic generators,traﬀikgeneratorer,,invalid characters in lemma
mozambique,moçambique,,invalid characters in lemma
ieee 802.11b,ieee 802.11b,,invalid characters in lemma
borlänge,borlänge,,invalid characters in lemma
pre-study,f¨orstudie,,invalid characters in lemma
computing methodologies ! ray tracing,beräkningsmetoder ! strålspårning,,invalid characters in lemma
information systems ! data access methods,informationssystem ! dataåtkomstmetoder,,invalid characters in lemma
ci/cd integration,ci/cd integration,,invalid characters in lemma
automated dynamic security evaluation,automatiserad dynamisk s¨akerhetstestning,,invalid characters in lemma
mobile device security,s¨akerhet f¨or mobila enheter,,invalid characters in lemma
java program repair,reparation av java­program,,invalid characters in lemma
gpt-3.5,gpt-3.5,,invalid characters in lemma
leo satellite network,leo:s satellitnät,,invalid characters in lemma
children’s fashion,barnmode,,invalid characters in lemma
cd/ci,cd/ci,,invalid characters in lemma
d/r,d/r,,invalid characters in lemma
