pos,status,src,row,comment,eng.lemma,eng.inflection,swe.lemma,swe.inflection
N?,0,ICT,2,from data,(Eclipse’s) Graphical Modeling Project (GMP),,,
N?,0,ICT,1189,from data,(U.S.) Federal Information Processing Standards (FIPS),,,
N?,0,ACM,1475,from data,* Indicates that the classification is no longer used as of January 1991,but that the item is still searchable for previously classified documents.,,
N?,0,ACM,1476,from data,** Indicates that the classification is no longer used as of January 1998,but that the item is still searchable for previously classified documents.,,
N?,0,ICT,17,from data,3-tier Web,,,
N?,0,ICT,15,from data,3rd Generation Partnership Project (3GPP),,,
N?,0,ICT,16,from data,3rd Generation Partnership Project (3GPP2),,,
N?,0,ICT,19,from data,6LoWPAN (IPv6 over Low power Wireless Personal Area Networks),,,
N?,0,ICT,3,from data,[FIPS-201] Personal Identity Verification (PIV),,,
N?,0,ICT,27,from data,Abstract Syntax Notation.One (ASN.1),,,
N?,0,ACM,871,from data,Abstracting methods,,,
N?,0,ACM,832,from data,Access methods,,,
N?,0,ICT,55,from data,Active Management Technology (AMT),,,
N?,0,ACM,704,from data,Adaptive and iterative quadrature,,,
N?,0,ICT,72,from data,Advanced Encryption Standard (AES),,,
N?,0,ICT,73,from data,Advanced Metering Infrastructure (AMI),,,
N?,0,ICT,87,from data,aggregator,,,
N?,0,ACM,655,from data,Algebraic language theory,,,
N?,0,ACM,800,from data,Algorithm design and analysis,,,
N?,0,ICT,104,from data,All Digital Phase-Locked Loop (ADPLL),,,
N?,0,ACM,478,from data,Allocation/deallocation strategies,,,
N?,0,ICT,118,from data,Amazon Elastic Compute Cloud Application Programming Interface (EC2API),,,
N?,0,ICT,131,from data,analogical reasoning in computer concept,,,
N?,0,ACM,930,from data,Animations,,,
N?,0,ACM,680,from data,Approximation,,,
N?,0,ACM,681,from data,Approximation of surfaces and contours,,,
N?,0,ACM,966,from data,Architectures,,,
N?,0,ACM,206,from data,Array and vector processors,,,
N?,0,ICT,177,from data,arrayed waveguide grating,,,
N?,0,ACM,931,from data,Artificial,augmented,,
N?,0,ACM,931,from data,Artificial,and virtual realities,,
N?,0,ACM,346,from data,Assertion checkers,,,
N?,0,ICT,196,from data,asymmetric digital subscriber line (ADSL),,,
N?,0,ACM,957,from data,Asynchronous interaction,,,
N?,0,ACM,932,from data,Audio input/output,,,
N?,0,ACM,937,from data,Auditory (non-speech) feedback,,,
N?,0,ACM,705,from data,Automatic differentiation,,,
N?,0,ICT,259,from data,baseboard management controller (BMC),,,
N?,0,ACM,938,from data,Benchmarking,,,
N?,0,ICT,289,from data,big data,,,
N?,0,ICT,299,from data,bit error rate (BER),,,
N?,0,ICT,312,from data,BORO method,,,
N?,0,ICT,316,from data,bottom up innovation,,,
N?,0,ACM,733,from data,Boundary value problems,,,
N?,0,ICT,322,from data,bread,,,
N?,0,ICT,329,from data,British Standard Institution (BSI),,,
N?,0,ICT,334,from data,broadband wireless access (BWA),,,
N?,0,ACM,921,from data,Bulletin boards,,,
N?,0,ICT,356,from data,business model canvas (BMC),,,
N?,0,ICT,362,from data,Business Process Modelling Notation (BPMN),,,
N?,0,ICT,374,from data,cache attack,,,
N?,0,ICT,375,from data,cacheability,,,
N?,0,ICT,376,from data,caching gain,,,
N?,0,ICT,387,from data,Call Processing Language (CPL),,,
N?,0,ICT,411,from data,Cascading Style Sheets (CSS),,,
N?,0,ACM,138,from data,Cellular arrays and automata,,,
N?,0,ACM,801,from data,Certification and testing,,,
N?,0,ACM,734,from data,Chaotic systems,,,
N?,0,ACM,682,from data,Chebyshev approximation and theory,,,
N?,0,ACM,347,from data,Class invariants,,,
N?,0,ACM,656,from data,Classes defined by grammars or automata (e.g.,context-free languages,,
N?,0,ACM,656,from data,Classes defined by grammars or automata (e.g.,regular sets,,
N?,0,ACM,656,from data,Classes defined by grammars or automata (e.g.,recursive sets),,
N?,0,ACM,657,from data,Classes defined by resource-bounded automata [**],,,
N?,0,ICT,478,from data,Cloud Data Management Interface (CDMI),,,
N?,0,ACM,958,from data,Collaborative computing,,,
N?,0,ACM,1353,from data,Collaborative learning,,,
N?,0,ACM,901,from data,Collection,,,
N?,0,ACM,766,from data,Combinatorial algorithms,,,
N?,0,ACM,765,from data,Combinatorics (F.2),,,
N?,0,ACM,895,from data,Commercial services,,,
N?,0,ICT,519,from data,Common Gateway Interface (CGI),,,
N?,0,ACM,574,from data,Computability theory,,,
N?,0,ACM,637,from data,Computability theory,,,
N?,0,ACM,638,from data,Computational logic,,,
N?,0,ACM,666,from data,Computer arithmetic,,,
N?,0,ACM,922,from data,Computer conferencing,teleconferencing,,
N?,0,ACM,922,from data,Computer conferencing,and videoconferencing,,
N?,0,ACM,1354,from data,Computer-assisted instruction (CAI),,,
N?,0,ACM,1355,from data,Computer-managed instruction (CMI),,,
N?,0,ACM,959,from data,Computer-supported cooperative work,,,
